Game Turn, Player, Action, , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 63
62, 8, ,,, 2:DIPLO_STATE_PATRON,, 0:DIPLO_STATE_AWARE, 0:DIPLO_STATE_AWARE,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 9, ,,,, 0:DIPLO_STATE_AWARE,,,, 1:DIPLO_STATE_PATRON,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 10, ,,, 2:DIPLO_STATE_PATRON,, 0:DIPLO_STATE_AWARE,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 11, ,,,, 1:DIPLO_STATE_PATRON,,,, 1:DIPLO_STATE_PATRON,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 12, ,,,, 2:DIPLO_STATE_PATRON,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 13, ,,,, 1:DIPLO_STATE_PATRON,,,,,,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 14, ,,,, 1:DIPLO_STATE_PATRON,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 15, ,,,, 1:DIPLO_STATE_PATRON,,,, 1:DIPLO_STATE_PATRON,,, 0:DIPLO_STATE_MINOR_MINOR,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 16, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 17, ,,,,,,, 1:DIPLO_STATE_PATRON,,,,,,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 18, ,,,, 1:DIPLO_STATE_PATRON,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 19, ,,, 0:DIPLO_STATE_AWARE,, 2:DIPLO_STATE_PATRON, 0:DIPLO_STATE_AWARE,,,, 0:DIPLO_STATE_MINOR_MINOR,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 20, ,,,, 1:DIPLO_STATE_PATRON,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 21, ,,,,,,, 2:DIPLO_STATE_PATRON,,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 22, ,, 1:DIPLO_STATE_PATRON,,,, 2:DIPLO_STATE_PATRON,,, 0:DIPLO_STATE_AWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 23, ,,,, 0:DIPLO_STATE_AWARE,,,, 1:DIPLO_STATE_PATRON,,, 0:DIPLO_STATE_MINOR_MINOR,, 0:DIPLO_STATE_MINOR_MINOR, 0:DIPLO_STATE_MINOR_MINOR,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 24, ,,,,,,, 1:DIPLO_STATE_PATRON,,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
62, 25, ,,, 1:DIPLO_STATE_PATRON,, 0:DIPLO_STATE_AWARE,,,,, 0:DIPLO_STATE_MINOR_MINOR,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
