Game Turn, Player, Action, Tech, Score
60, 13, Tech, TECH_CELESTIAL_NAVIGATION, 313.3, 
60, 13, Tech, TECH_CURRENCY, 245.6, 
60, 13, Tech, TECH_HORSEBACK_RIDING, 186.3, 
60, 13, Tech, TECH_IRON_WORKING, 154.4, 
60, 13, Tech, TECH_SHIPBUILDING, 288.4, 
60, 13, Tech, TECH_MATHEMATICS, 328.2, 
60, 13, Tech, TECH_CONSTRUCTION, 599.3, 
60, 13, Tech, TECH_ENGINEERING, 399.6, 
60, 13, Tech, TECH_MILITARY_TACTICS, 579.9, 
60, 13, Tech, TECH_APPRENTICESHIP, 467.9, 
60, 13, Tech, TECH_MACHINERY, -9177.3, 
60, 13, Tech, TECH_EDUCATION, -8771.0, 
60, 13, Tech, TECH_STIRRUPS, 217.2, 
60, 13, Tech, TECH_MILITARY_ENGINEERING, -8876.2, 
60, 13, Tech, TECH_CASTLES, -8876.2, 
60, 13, Tech, TECH_CARTOGRAPHY, -9710.6, 
60, 13, Tech, TECH_SQUARE_RIGGING, -19421.3, 
60, 14, Tech, TECH_POTTERY, 0.0, OWNED
60, 14, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 14, Tech, TECH_MINING, 0.0, OWNED
60, 14, Tech, TECH_SAILING, 0.0, OWNED
60, 14, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 14, Tech, TECH_IRRIGATION, 334.9, BOOSTED
60, 14, Tech, TECH_ARCHERY, 0.0, OWNED
60, 14, Tech, TECH_WRITING, 0.0, OWNED
60, 14, Tech, TECH_MASONRY, 332.4, 
60, 14, Tech, TECH_BRONZE_WORKING, 265.9, 
60, 14, Tech, TECH_THE_WHEEL, 201.7, 
60, 14, Tech, TECH_CELESTIAL_NAVIGATION, 262.7, 
60, 14, Tech, TECH_CURRENCY, 395.9, 
60, 14, Tech, TECH_HORSEBACK_RIDING, 228.6, RESEARCHING
60, 14, Tech, TECH_IRON_WORKING, 330.8, 
60, 14, Tech, TECH_SHIPBUILDING, 222.0, 
60, 14, Tech, TECH_MATHEMATICS, 447.1, 
60, 14, Tech, TECH_CONSTRUCTION, 596.6, GOAL
60, 14, Tech, TECH_ENGINEERING, 268.0, 
60, 14, Tech, TECH_MILITARY_TACTICS, -9155.9, 
60, 14, Tech, TECH_APPRENTICESHIP, 625.5, 
60, 14, Tech, TECH_MACHINERY, -8932.6, 
60, 14, Tech, TECH_EDUCATION, -8301.8, 
60, 14, Tech, TECH_STIRRUPS, 242.4, 
60, 14, Tech, TECH_MILITARY_ENGINEERING, -8841.4, 
60, 14, Tech, TECH_CASTLES, -8841.4, 
60, 14, Tech, TECH_CARTOGRAPHY, -9777.0, 
60, 14, Tech, TECH_SQUARE_RIGGING, -19554.0, 
60, 14, Contract 766
60, 14, Contract 857
60, 15, Tech, TECH_POTTERY, 0.0, OWNED
60, 15, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 15, Tech, TECH_MINING, 0.0, OWNED
60, 15, Tech, TECH_SAILING, 0.0, OWNED
60, 15, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 15, Tech, TECH_IRRIGATION, 334.9, BOOSTED
60, 15, Tech, TECH_ARCHERY, 0.0, OWNED
60, 15, Tech, TECH_WRITING, 0.0, OWNED
60, 15, Tech, TECH_MASONRY, 340.9, 
60, 15, Tech, TECH_BRONZE_WORKING, 0.0, OWNED
60, 15, Tech, TECH_THE_WHEEL, 261.0, 
60, 15, Tech, TECH_CELESTIAL_NAVIGATION, 324.4, 
60, 15, Tech, TECH_CURRENCY, 254.2, 
60, 15, Tech, TECH_HORSEBACK_RIDING, 239.1, RESEARCHING
60, 15, Tech, TECH_IRON_WORKING, 160.4, 
60, 15, Tech, TECH_SHIPBUILDING, 242.8, 
60, 15, Tech, TECH_MATHEMATICS, 321.8, 
60, 15, Tech, TECH_CONSTRUCTION, 653.4, GOAL
60, 15, Tech, TECH_ENGINEERING, 384.4, 
60, 15, Tech, TECH_MILITARY_TACTICS, -9423.0, 
60, 15, Tech, TECH_APPRENTICESHIP, 529.4, 
60, 15, Tech, TECH_MACHINERY, -9193.3, 
60, 15, Tech, TECH_EDUCATION, -8654.5, 
60, 15, Tech, TECH_STIRRUPS, 270.0, 
60, 15, Tech, TECH_MILITARY_ENGINEERING, -8765.6, 
60, 15, Tech, TECH_CASTLES, -8765.6, 
60, 15, Tech, TECH_CARTOGRAPHY, -9756.2, 
60, 15, Tech, TECH_SQUARE_RIGGING, -19512.4, 
60, 15, Contract 786
60, 16, Tech, TECH_POTTERY, 0.0, OWNED
60, 16, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 16, Tech, TECH_MINING, 0.0, OWNED
60, 16, Tech, TECH_SAILING, 0.0, OWNED
60, 16, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 16, Tech, TECH_IRRIGATION, 334.9, 
60, 16, Tech, TECH_ARCHERY, 0.0, OWNED
60, 16, Tech, TECH_WRITING, 0.0, OWNED
60, 16, Tech, TECH_MASONRY, 238.5, 
60, 16, Tech, TECH_BRONZE_WORKING, 0.0, OWNED
60, 16, Tech, TECH_THE_WHEEL, 250.3, 
60, 16, Tech, TECH_CELESTIAL_NAVIGATION, 262.7, 
60, 16, Tech, TECH_CURRENCY, 205.9, 
60, 16, Tech, TECH_HORSEBACK_RIDING, 186.6, RESEARCHING
60, 16, Tech, TECH_IRON_WORKING, 104.5, 
60, 16, Tech, TECH_SHIPBUILDING, 222.0, 
60, 16, Tech, TECH_MATHEMATICS, 257.1, 
60, 16, Tech, TECH_CONSTRUCTION, 446.4, GOAL
60, 16, Tech, TECH_ENGINEERING, 328.7, 
60, 16, Tech, TECH_MILITARY_TACTICS, -9535.9, 
60, 16, Tech, TECH_APPRENTICESHIP, -9606.5, 
60, 16, Tech, TECH_MACHINERY, -9315.6, 
60, 16, Tech, TECH_EDUCATION, -18955.9, 
60, 16, Tech, TECH_STIRRUPS, -9812.4, 
60, 16, Tech, TECH_MILITARY_ENGINEERING, -9127.5, 
60, 16, Tech, TECH_CASTLES, -9127.5, 
60, 16, Tech, TECH_CARTOGRAPHY, -9777.0, 
60, 16, Tech, TECH_SQUARE_RIGGING, -19554.0, 
60, 17, Tech, TECH_POTTERY, 0.0, OWNED
60, 17, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 17, Tech, TECH_MINING, 0.0, OWNED
60, 17, Tech, TECH_SAILING, 0.0, OWNED
