Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
62, CIVILIZATION_ZANZIBAR, 1, 3, 8, 5, 5, 0, 0, 0, 8, 5, 188, 0, 5, 4, 10, 0, 6, 7, 8, 12, 1, 2, 4, 0
62, CIVILIZATION_JERUSALEM, 1, 5, 8, 5, 6, 0, 0, 0, 7, 0, 198, 0, 5, 4, 4, 0, 4, 12, 7, 12, 0, 5, 0, 0
62, CIVILIZATION_VALLETTA, 1, 6, 10, 5, 4, 0, 0, 0, 8, 5, 89, 3, 5, 4, 7, 0, 4, 20, 8, 13, 0, 5, 4, 0
62, CIVILIZATION_PRESLAV, 1, 7, 9, 4, 5, 0, 0, 0, 7, 5, 145, 0, 6, 2, 5, 0, 1, 22, 7, 11, 0, 7, 0, 0
62, CIVILIZATION_LISBON, 1, 4, 7, 5, 7, 0, 0, 0, 7, 4, 210, 0, 4, 4, 5, 0, 5, 11, 7, 13, 0, 3, 0, 0
62, CIVILIZATION_CARTHAGE, 1, 6, 8, 4, 4, 0, 0, 0, 7, 3, 269, 0, 5, 4, 4, 0, 2, 15, 7, 13, 0, 5, 0, 0
62, CIVILIZATION_KABUL, 1, 4, 8, 5, 6, 0, 0, 0, 7, 3, 322, 0, 4, 4, 5, 0, 4, 10, 7, 13, 0, 3, 0, 0
62, CIVILIZATION_MOHENJO_DARO, 1, 7, 8, 6, 4, 0, 0, 0, 7, 3, 53, 0, 6, 2, 9, 0, 2, 19, 7, 11, 0, 7, 5, 0
62, CIVILIZATION_AMSTERDAM, 1, 7, 7, 5, 4, 0, 0, 0, 7, 2, 304, 0, 6, 4, 5, 0, 3, 18, 7, 13, 0, 7, 0, 0
62, CIVILIZATION_PALENQUE, 1, 7, 10, 5, 3, 0, 0, 0, 8, 5, 124, 0, 8, 4, 5, 0, 4, 17, 8, 13, 1, 7, 0, 0
62, CIVILIZATION_STOCKHOLM, 1, 6, 8, 5, 6, 0, 0, 0, 7, 4, 145, 0, 6, 4, 8, 0, 5, 12, 7, 13, 1, 6, 4, 0
62, CIVILIZATION_ARMAGH, 1, 3, 6, 5, 6, 0, 0, 0, 8, 5, 90, 109, 4, 3, 5, 3, 6, 8, 8, 15, 1, 2, 0, 0
62, CIVILIZATION_KANDY, 1, 3, 8, 5, 7, 0, 0, 0, 8, 3, 267, 35, 4, 4, 13, 1, 3, 7, 8, 12, 1, 2, 0, 0
62, CIVILIZATION_KUMASI, 1, 2, 9, 5, 5, 0, 0, 0, 7, 3, 314, 0, 3, 3, 5, 0, 4, 4, 7, 13, 0, 1, 0, 0
62, CIVILIZATION_GRANADA, 1, 5, 9, 5, 5, 0, 0, 0, 7, 6, 93, 11, 5, 4, 7, 1, 5, 13, 7, 13, 0, 5, 5, 0
62, CIVILIZATION_BRUSSELS, 1, 5, 8, 6, 4, 0, 0, 0, 7, 3, 114, 0, 5, 5, 13, 0, 4, 13, 7, 13, 0, 5, 8, 0
63, CIVILIZATION_ROME, 1, 7, 8, 7, 2, 0, 0, 0, 14, 8, 387, 43, 7, 7, 36, 4, 11, 20, 14, 13, 1, 6, 5, 0
63, CIVILIZATION_CHINA, 2, 8, 9, 5, 6, 0, 0, 1, 21, 3, 129, 34, 14, 4, 17, 2, 21, 25, 21, 10, 2, 7, 0, 0
63, CIVILIZATION_JAPAN, 3, 11, 10, 6, 7, 0, 0, 0, 31, 6, 273, 210, 12, 8, 20, 8, 31, 35, 31, 14, 2, 10, 0, 2
63, CIVILIZATION_AMERICA, 2, 6, 9, 6, 3, 0, 0, 0, 23, 8, 238, 35, 9, 9, 10, 3, 19, 16, 23, 14, 1, 5, 0, 0
63, CIVILIZATION_SPAIN, 2, 5, 8, 4, 5, 0, 0, 1, 20, 3, 279, 114, 6, 2, 15, 4, 18, 14, 20, 12, 1, 4, 0, 0
63, CIVILIZATION_EGYPT, 3, 8, 7, 8, 8, 0, 0, 1, 29, 3, 105, 357, 8, 7, 14, 10, 21, 23, 29, 14, 1, 7, 2, 0
63, CIVILIZATION_KONGO, 2, 5, 8, 6, 4, 0, 0, 0, 20, 2, 162, 59, 10, 7, 6, 2, 17, 15, 20, 14, 1, 4, 0, 0
63, CIVILIZATION_AZTEC, 2, 4, 8, 3, 3, 0, 0, 0, 19, 0, 15, 6, 5, 2, 10, 1, 16, 9, 19, 10, 1, 3, 0, 0
63, CIVILIZATION_JAKARTA, 1, 4, 7, 5, 9, 0, 0, 0, 8, 1, 218, 17, 6, 4, 8, 1, 6, 10, 8, 13, 0, 3, 5, 0
63, CIVILIZATION_HATTUSA, 1, 4, 7, 5, 6, 0, 0, 0, 7, 4, 346, 0, 7, 4, 5, 0, 6, 10, 7, 15, 1, 3, 0, 0
63, CIVILIZATION_ZANZIBAR, 1, 3, 8, 5, 5, 0, 0, 0, 8, 5, 198, 0, 5, 4, 10, 0, 6, 7, 8, 12, 1, 2, 4, 0
63, CIVILIZATION_JERUSALEM, 1, 5, 8, 5, 6, 0, 0, 0, 7, 0, 203, 0, 5, 4, 4, 0, 4, 12, 7, 12, 0, 5, 0, 0
63, CIVILIZATION_VALLETTA, 1, 6, 10, 5, 4, 0, 0, 0, 8, 6, 96, 4, 5, 4, 7, 0, 4, 20, 8, 13, 0, 5, 4, 0
63, CIVILIZATION_PRESLAV, 1, 7, 9, 4, 5, 0, 0, 0, 7, 5, 148, 0, 6, 2, 5, 0, 1, 22, 7, 11, 0, 7, 0, 0
63, CIVILIZATION_LISBON, 1, 4, 7, 5, 7, 0, 0, 0, 7, 4, 215, 0, 4, 4, 5, 0, 5, 11, 7, 13, 0, 3, 0, 0
63, CIVILIZATION_CARTHAGE, 1, 6, 8, 4, 4, 0, 0, 0, 7, 3, 272, 0, 5, 4, 4, 0, 2, 15, 7, 13, 0, 5, 0, 0
63, CIVILIZATION_KABUL, 1, 4, 8, 5, 7, 0, 0, 0, 7, 3, 85, 0, 4, 4, 5, 0, 4, 10, 7, 13, 0, 3, 0, 0
63, CIVILIZATION_MOHENJO_DARO, 1, 7, 8, 6, 4, 0, 0, 0, 7, 3, 63, 0, 6, 2, 9, 0, 2, 19, 7, 11, 0, 7, 5, 0
63, CIVILIZATION_AMSTERDAM, 1, 7, 7, 5, 4, 0, 0, 0, 7, 2, 312, 0, 6, 4, 7, 0, 2, 18, 7, 13, 1, 7, 0, 0
63, CIVILIZATION_PALENQUE, 1, 7, 10, 5, 3, 0, 0, 0, 8, 5, 127, 0, 8, 4, 5, 0, 4, 17, 8, 13, 1, 7, 0, 0
63, CIVILIZATION_STOCKHOLM, 1, 6, 8, 5, 6, 0, 0, 0, 7, 4, 152, 0, 6, 4, 8, 0, 5, 12, 7, 13, 1, 6, 4, 0
63, CIVILIZATION_ARMAGH, 1, 4, 6, 5, 6, 0, 0, 0, 8, 5, 95, 113, 4, 4, 7, 3, 6, 10, 8, 15, 1, 3, 0, 0
63, CIVILIZATION_KANDY, 1, 3, 8, 5, 7, 0, 0, 0, 8, 3, 278, 36, 4, 4, 13, 1, 3, 7, 8, 12, 1, 2, 0, 0
