Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
62, 8, Wander, , , UNIT_ARCHER (589831), Move To: 11 25
62, 8, Wander, , , UNIT_ARCHER (655368), Move To: 15 18
62, 8, Wander, , , UNIT_ARCHER (786441), Move To: 11 22
62, 8, Wander, , , UNIT_ARCHER (851978), Move To: 10 20
62, 9, Heal, , , UNIT_WARRIOR (131073), 
62, 9, Heal, , , UNIT_WARRIOR (524293), 
62, 9, Wander, , , UNIT_WARRIOR (589824), Move To: 56 9
62, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 60 10
62, 9, Wander, , , UNIT_WARRIOR (327683), Move To: 56 15
62, 9, Wander, , , UNIT_WARRIOR (458756), Move To: 57 9
62, 10, Wander, , , UNIT_ARCHER (458752), Move To: 17 20
62, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 18 17
62, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 16 22
62, 10, Wander, , , UNIT_ARCHER (524292), Move To: 14 19
62, 10, Wander, , , UNIT_ARCHER (655366), Move To: 18 16
62, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 65 22
62, 11, Wander, , , UNIT_ARCHER (327683), Move To: 64 19
62, 11, Wander, , , UNIT_ARCHER (393220), Move To: 66 21
62, 11, Wander, , , UNIT_ARCHER (458757), Move To: 65 19
62, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 66 15
62, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 67 13
62, 12, Wander, , , UNIT_ARCHER (393219), Move To: 64 15
62, 12, Wander, , , UNIT_HORSEMAN (589829), Move To: 68 11
62, 13, Wander, , , UNIT_SLINGER (262144), Move To: 78 28
62, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 75 28
62, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 80 29
62, 13, Wander, , , UNIT_ARCHER (458756), Move To: 79 28
62, 13, Wander, , , UNIT_ARCHER (524293), Move To: 77 25
62, 14, Wander, , , UNIT_WARRIOR (524289), Move To: 76 13
62, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 73 15
62, 14, Wander, , , UNIT_ARCHER (786435), Move To: 77 15
62, 14, Wander, , , UNIT_WARRIOR (458756), Move To: 74 17
62, 14, Wander, , , UNIT_WARRIOR (655365), Move To: 78 13
62, 14, Wander, , , UNIT_ARCHER (720902), Move To: 77 16
62, 14, Wander, , , UNIT_ARCHER (851975), Move To: 76 11
62, 14, HL: End Turn, , , UNIT_BUILDER (589824)
