[2018-01-30 21:20:54]	 ,                LuaContext::CivicsChooser, 12.71 ms
[2018-01-30 21:20:54]	 ,                LuaContext::ResearchChooser, 16.53 ms
[2018-01-30 21:20:54]	 ,            SerialEvent::GameCoreEventPublishComplete, 37.46 ms
[2018-01-30 21:20:54]	 ,        Civ6App_PublishGameCoreEvents, 55.17 ms
[2018-01-30 21:20:54]	 ,----- FRAME: 29559 time: 78.26ms Moving avg: 31.97ms 4 frames since last 
[2018-01-30 21:20:54]	 ,                LuaContext::CityPanel, 7.20 ms
[2018-01-30 21:20:54]	 ,            GameCoreEvent::CityProductionUpdated, 7.95 ms
[2018-01-30 21:20:54]	 ,                LuaContext::CivicsChooser, 11.96 ms
[2018-01-30 21:20:54]	 ,                LuaContext::ResearchChooser, 15.77 ms
[2018-01-30 21:20:54]	 ,            SerialEvent::GameCoreEventPublishComplete, 27.86 ms
[2018-01-30 21:20:54]	 ,        Civ6App_PublishGameCoreEvents, 46.91 ms
[2018-01-30 21:20:54]	 ,----- FRAME: 29571 time: 76.68ms Moving avg: 32.40ms 13 frames since last 
[2018-01-30 21:21:39]	 , WONDERMOVIE: Turn number: 62. Visible mesh count: 545
[2018-01-30 21:21:40]	 ,            Overlays_Update, 24.40 ms
[2018-01-30 21:21:40]	 ,----- FRAME: 31292 time: 49.82ms Moving avg: 27.55ms 1722 frames since last 
[2018-01-30 21:21:43]	 ,            LeaderScreen_Update, 191.04 ms
[2018-01-30 21:21:43]	 ,        GameViewState_Tick, 193.28 ms
[2018-01-30 21:21:43]	 ,    Civ6App_UpdateFrame, 210.25 ms
[2018-01-30 21:21:43]	 ,----- FRAME: 31368 time: 212.89ms Moving avg: 29.58ms 77 frames since last 
[2018-01-30 21:21:45]	 ,            DoGameStateSaveRequest, 544.40 ms
[2018-01-30 21:21:45]	 ,        SerialEvent::PreTurnBegin, 545.44 ms
[2018-01-30 21:21:45]	 ,----- FRAME: 32038 time: 1.69ms Moving avg: 1.77ms 671 frames since last 
[2018-01-30 21:21:45]	 ,            GameCoreEvent::TurnBegin, 7.41 ms
[2018-01-30 21:21:45]	 ,                LuaContext::CityPanel, 7.46 ms
[2018-01-30 21:21:45]	 ,            GameCoreEvent::LocalPlayerTurnBegin, 8.14 ms
[2018-01-30 21:21:45]	 ,                LuaContext::WorldTracker, 6.90 ms
[2018-01-30 21:21:45]	 ,                LuaContext::CivicsChooser, 11.77 ms
[2018-01-30 21:21:45]	 ,                LuaContext::ResearchChooser, 18.90 ms
[2018-01-30 21:21:45]	 ,            SerialEvent::GameCoreEventPublishComplete, 37.67 ms
[2018-01-30 21:21:45]	 ,        Civ6App_PublishGameCoreEvents, 54.15 ms
[2018-01-30 21:21:45]	 ,----- FRAME: 32051 time: 56.32ms Moving avg: 2.62ms 14 frames since last 
[2018-01-30 21:21:45]	 ,                LuaContext::CityPanel, 7.87 ms
[2018-01-30 21:21:45]	 ,            GameCoreEvent::CityProductionUpdated, 8.56 ms
[2018-01-30 21:21:45]	 ,                LuaContext::CivicsChooser, 12.98 ms
[2018-01-30 21:21:45]	 ,                LuaContext::ResearchChooser, 16.71 ms
[2018-01-30 21:21:45]	 ,            SerialEvent::GameCoreEventPublishComplete, 29.78 ms
[2018-01-30 21:21:45]	 ,        Civ6App_PublishGameCoreEvents, 50.52 ms
[2018-01-30 21:21:45]	 ,----- FRAME: 32119 time: 75.68ms Moving avg: 4.35ms 69 frames since last 
[2018-01-30 21:22:23]	 ,Civ6App_UpdateFrame, 123.83 ms
[2018-01-30 21:22:23]	 ,----- FRAME: 33661 time: 123.96ms Moving avg: 30.39ms 1543 frames since last 
[2018-01-30 21:22:23]	 , WONDERMOVIE: Turn number: 63. Visible mesh count: 579
[2018-01-30 21:22:26]	 ,                Overlays_Update, 26.51 ms
[2018-01-30 21:22:26]	 ,----- FRAME: 33765 time: 56.27ms Moving avg: 28.39ms 105 frames since last 
[2018-01-30 21:22:33]	 ,                    DoGameStateSaveRequest, 532.48 ms
[2018-01-30 21:22:33]	 ,                SerialEvent::PreTurnBegin, 533.40 ms
[2018-01-30 21:22:33]	 ,----- FRAME: 33989 time: 28.34ms Moving avg: 27.22ms 225 frames since last 
[2018-01-30 21:22:33]	 ,            GameCoreEvent::TurnBegin, 7.53 ms
[2018-01-30 21:22:33]	 ,                LuaContext::CityPanel, 7.68 ms
[2018-01-30 21:22:33]	 ,            GameCoreEvent::LocalPlayerTurnBegin, 8.34 ms
[2018-01-30 21:22:33]	 ,                LuaContext::WorldTracker, 7.02 ms
[2018-01-30 21:22:33]	 ,                LuaContext::CivicsChooser, 11.97 ms
[2018-01-30 21:22:33]	 ,                LuaContext::ResearchChooser, 15.16 ms
[2018-01-30 21:22:33]	 ,            SerialEvent::GameCoreEventPublishComplete, 34.24 ms
[2018-01-30 21:22:33]	 ,        Civ6App_PublishGameCoreEvents, 51.11 ms
[2018-01-30 21:22:33]	 ,----- FRAME: 33991 time: 68.77ms Moving avg: 27.77ms 3 frames since last 
[2018-01-30 21:22:33]	 ,                LuaContext::CityPanel, 7.41 ms
[2018-01-30 21:22:33]	 ,            GameCoreEvent::CityProductionUpdated, 7.66 ms
[2018-01-30 21:22:33]	 ,                LuaContext::CityBannerManager, 42.03 ms
[2018-01-30 21:22:33]	 ,            GameCoreEvent::DistrictBuildProgressChanged, 42.12 ms
[2018-01-30 21:22:33]	 ,                LuaContext::CityPanel, 19.76 ms
[2018-01-30 21:22:33]	 ,            GameCoreEvent::CityProductionCompleted, 20.38 ms
[2018-01-30 21:22:33]	 ,                LuaContext::CityPanel, 20.96 ms
[2018-01-30 21:22:33]	 ,            GameCoreEvent::CityProductionCompleted, 21.65 ms
[2018-01-30 21:22:33]	 ,                LuaContext::CivicsChooser, 16.68 ms
[2018-01-30 21:22:33]	 ,                LuaContext::ResearchChooser, 15.03 ms
[2018-01-30 21:22:33]	 ,            SerialEvent::GameCoreEventPublishComplete, 31.81 ms
[2018-01-30 21:22:33]	 ,        Civ6App_PublishGameCoreEvents, 139.39 ms
[2018-01-30 21:22:33]	 ,                LuaContext::SelectedUnit, 35.80 ms
[2018-01-30 21:22:33]	 ,                LuaContext::UnitPanel, 75.26 ms
[2018-01-30 21:22:33]	 ,            SerialEvent::UnitSelectionChanged, 112.12 ms
[2018-01-30 21:22:33]	 ,        Civ6App_PublishSerialEvents, 112.71 ms
[2018-01-30 21:22:33]	 ,    Civ6App_PublishEvents, 252.15 ms
[2018-01-30 21:22:33]	 ,----- FRAME: 34003 time: 317.37ms Moving avg: 32.39ms 13 frames since last 
[2018-01-30 21:22:33]	 ,                LuaContext::ModalLensPanel, 19.69 ms
[2018-01-30 21:22:33]	 ,            SerialEvent::LensLayerOn, 20.06 ms
[2018-01-30 21:22:33]	 ,----- FRAME: 34004 time: 56.71ms Moving avg: 32.87ms 2 frames since last 
[2018-01-30 21:22:43]	 ,    Civ6App_UpdateFrame, 144.87 ms
[2018-01-30 21:22:43]	 ,----- FRAME: 34369 time: 145.06ms Moving avg: 28.74ms 366 frames since last 
[2018-01-30 21:23:42]	 ,                                LuaContext::CityPanel, 9.69 ms
[2018-01-30 21:23:42]	 ,                            SerialEvent::CitySelectionChanged, 10.37 ms
[2018-01-30 21:23:42]	 ,----- FRAME: 36325 time: 48.09ms Moving avg: 28.69ms 1957 frames since last 
[2018-01-30 21:24:04]	 ,                LuaContext::CityPanel, 9.63 ms
[2018-01-30 21:24:04]	 ,            GameCoreEvent::CityProductionChanged, 10.69 ms
[2018-01-30 21:24:04]	 ,----- FRAME: 37155 time: 32.97ms Moving avg: 26.92ms 831 frames since last 
[2018-01-30 21:24:07]	 ,            AsyncUpdateManager_Update, 11.84 ms
[2018-01-30 21:24:07]	 ,            Overlays_Update, 22.90 ms
[2018-01-30 21:24:07]	 ,----- FRAME: 37273 time: 61.21ms Moving avg: 27.10ms 119 frames since last 
[2018-01-30 21:24:09]	 , WONDERMOVIE: Turn number: 64. Visible mesh count: 600
[2018-01-30 21:24:18]	 ,                        DoGameStateSaveRequest, 542.08 ms
[2018-01-30 21:24:18]	 ,                    SerialEvent::PreTurnBegin, 543.02 ms
[2018-01-30 21:24:18]	 ,----- FRAME: 37665 time: 29.06ms Moving avg: 28.40ms 393 frames since last 
[2018-01-30 21:24:18]	 ,            GameCoreEvent::TurnBegin, 7.41 ms
