Game Turn, Mode, Player, Unit, Operation
060, Can't Start, 63, UNIT_WARRIOR (7667828), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 63, UNIT_WARRIOR (7667828), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_ARCHER (7995513), UNITOPERATION_RANGE_ATTACK (26)
060, Adding, 63, UNIT_ARCHER (7995513), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_QUADRIREME (3145775), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_QUADRIREME (4325441), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SLINGER (3342386), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 63, UNIT_SLINGER (3342386), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 63, UNIT_SLINGER (3342386), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (5439570), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 63, UNIT_WARRIOR (5439570), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 63, UNIT_WARRIOR (5439570), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (5963866), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 63, UNIT_WARRIOR (5963866), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 63, UNIT_WARRIOR (5963866), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SLINGER (3342386), UNITOPERATION_RANGE_ATTACK (26)
060, Adding, 63, UNIT_SLINGER (3342386), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (5439570), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (5963866), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SPEARMAN (917517), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (917517), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (2031646), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (2031646), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (1900572), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (1900572), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (524295), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (524295), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (2752553), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (2752553), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (3211312), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (3211312), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (3080238), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (3080238), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (2228257), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (2228257), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (1703961), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (1703961), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (786443), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (786443), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (1179665), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (1179665), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (1310739), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (1310739), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (4653126), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (4653126), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SPEARMAN (1441813), UNITOPERATION_FORTIFY (12)
060, Can't Start, 63, UNIT_SPEARMAN (1441813), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_WARRIOR (2621479), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (3407923), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SLINGER (4456515), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_QUADRIREME (5046348), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (5242959), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SLINGER (5308496), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (5701718), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_QUADRIREME (6094940), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (6422625), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (6488162), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (6619236), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (6815847), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_QUADRIREME (7012458), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (7274606), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (7733365), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (7798902), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_QUADRIREME (8061050), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (8192124), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SCOUT (851980), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SCOUT (1245202), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SCOUT (589832), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SCOUT (5505107), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SCOUT (7864439), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SCOUT (7929976), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SCOUT (589832), UNITOPERATION_SKIP_TURN (36)
060, Adding, 63, UNIT_SCOUT (1769498), UNITOPERATION_SKIP_TURN (36)
060, Adding, 63, UNIT_SCOUT (5505107), UNITOPERATION_SKIP_TURN (36)
060, Adding, 63, UNIT_BUILDER (5636181), UNITOPERATION_SKIP_TURN (36)
060, Adding, 63, UNIT_SCOUT (7864439), UNITOPERATION_SKIP_TURN (36)
060, Adding, 63, UNIT_SCOUT (7929976), UNITOPERATION_SKIP_TURN (36)
061, Adding, 1, UNIT_ARCHER (851976), UNITOPERATION_RANGE_ATTACK (26)
